bezirk,plz
Tempelhof,"['10965', '12099', '12101', '12103', '12105', '12347']"
Tempelhof (Mariendorf),['12109']
Tempelhof-Sch,['10829']
Tempelhof-Schöneberg,"['10781', '10783', '12157', '12159', '12161', '14197']"
"Tempelhof-Schöneberg, Friedenau",['12161']
"Tempelhof-Schöneberg, Lichtenrade",['12309']
"Tempelhof-Schöneberg, Mariendorf","['12107', '12277']"
"Tempelhof-Schöneberg, Marienfelde",['12279']
"Tempelhof-Schöneberg, Schöneberg",['10781']
"Tempelhof-Schöneberg, Tempelhof","['12101', '12103', '12105']"
Test,['14197']
Tiergarten,"['10555', '10785']"
Treptow,"['12435', '12487', '12587']"
"Treptow, Altglienicke",['12524']
Treptow-Köpenick,"['12435', '12437', '12459', '12487', '12559', '12589']"
"Treptow-Köpenick, Friedrichshagen",['12587']
"Treptow-Köpenick, Müggelheim",['12559']
"Treptow-Köpenick, Rahnsdorf",['12589']
"Treptow-Köpenick, Treptow",['12437']
Wannsee,['14109']
Wedding,"['13347', '13351', '13353', '13357', '13359']"
Weißensee/Heinersdorf,['13086']
Wilmerdorf,['14199']
Wilmersdorf,"['10587', '10623', '10625', '10629', '10707', '10709', '10711', '10713', '10715', '10717', '10719', '10777', '10779', '12161', '14057', '14059', '14193', '14195', '14197', '14199']"
Wilmersdorf-Charlottenburg,"['10713', '10715']"
Zehlendorf,"['14129', '14163', '14165', '14167', '14169', '14195']"
